UF de notificação;PR;SC;RS;Total;Ano
41 Paraná;246;0;0;246;2014
42 Santa Catarina;0;350;0;350;2014
43 Rio Grande do Sul;0;0;480;480;2014
Total;246;350;480;1076;2014
41 Paraná;496;0;0;496;2015
42 Santa Catarina;0;545;0;545;2015
43 Rio Grande do Sul;0;0;532;532;2015
Total;496;545;532;1573;2015
41 Paraná;434;0;0;434;2016
42 Santa Catarina;0;377;0;377;2016
43 Rio Grande do Sul;0;0;403;403;2016
Total;434;377;403;1214;2016
41 Paraná;258;0;0;258;2017
42 Santa Catarina;0;314;0;314;2017
43 Rio Grande do Sul;0;0;494;494;2017
Total;258;314;494;1066;2017
41 Paraná;321;0;0;321;2018
42 Santa Catarina;0;254;0;254;2018
43 Rio Grande do Sul;0;0;448;448;2018
Total;321;254;448;1023;2018
41 Paraná;411;0;0;411;2019
42 Santa Catarina;0;288;0;288;2019
43 Rio Grande do Sul;0;0;706;706;2019
Total;411;288;706;1405;2019
41 Paraná;170;0;0;170;2020
42 Santa Catarina;0;143;0;143;2020
43 Rio Grande do Sul;0;0;218;218;2020
Total;170;143;218;531;2020
41 Paraná;201;0;0;201;2021
42 Santa Catarina;0;153;0;153;2021
43 Rio Grande do Sul;0;0;189;189;2021
Total;201;153;189;543;2021
41 Paraná;310;0;0;310;2022
42 Santa Catarina;0;194;0;194;2022
43 Rio Grande do Sul;0;0;293;293;2022
Total;310;194;293;797;2022
41 Paraná;450;0;0;450;2023
42 Santa Catarina;0;317;0;317;2023
43 Rio Grande do Sul;0;0;462;462;2023
Total;450;317;462;1229;2023
